dataset_id,term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high
1,treat,Treatment - Control,0.000912771255632605,0.00115139967607999,0.792749272555117,0.427923916748131,1.22457378117562,-0.00134393064129525,0.00316947315256046
2,treat,Treatment - Control,0.000659746121248028,0.00117485159936695,0.561556984391492,0.574417895040432,0.799827400246002,-0.00164292070069048,0.00296241294318654
3,treat,Treatment - Control,-0.00113652890334472,0.00115678192857453,-0.982491924597434,0.325857559381146,1.61768663129659,-0.00340377982131758,0.00113072201462814
4,treat,Treatment - Control,0.00123556713397015,0.00119858494055028,1.03085487909008,0.302608878474967,1.72447377837072,-0.00111361618192048,0.00358475044986078
5,treat,Treatment - Control,0.000726936459637177,0.00115833192164171,0.627571809129531,0.530284481056456,0.915161566718906,-0.00154335238892365,0.00299722530819801
6,treat,Treatment - Control,-0.0010599203815706,0.00114279553946712,-0.927480327815107,0.35367720104553,1.49949487273481,-0.00329975848061918,0.00117991771747797
7,treat,Treatment - Control,-0.000279652113404513,0.00117812266434605,-0.237370964728653,0.812369012889861,0.299792884552576,-0.00258873010489314,0.00202942587808412
8,treat,Treatment - Control,-0.0020249681279613,0.00117727781768091,-1.72004271001236,0.0854246782998196,3.54920328014481,-0.00433239025041378,0.000282453994491185
9,treat,Treatment - Control,0.000932098041667058,0.00117614196402837,0.792504706212978,0.428066448740788,1.22409333137346,-0.00137309784853475,0.00323729393186887
10,treat,Treatment - Control,-0.00093536841831517,0.00117074586233072,-0.798950864069715,0.424318903847595,1.2367791412654,-0.00322998814353266,0.00135925130690232
11,treat,Treatment - Control,7.403356655011e-05,0.00119044832401036,0.0621896516269663,0.950411803344651,0.073375341533772,-0.00225920227396626,0.00240726940706648
12,treat,Treatment - Control,-0.000733948945771626,0.00118902051398308,-0.6172718949255,0.53705540141334,0.896857173861812,-0.00306438633005776,0.00159648843851451
13,treat,Treatment - Control,-0.000604881053944403,0.00115625933185468,-0.52313614885525,0.600879511252555,0.73485236509127,-0.00287110770116793,0.00166134559327912
14,treat,Treatment - Control,-0.00325083749378896,0.00116801895137397,-2.7832061200419,0.00538245994528591,7.53751860634991,-0.00554011257174219,-0.000961562415835733
15,treat,Treatment - Control,0.0024534318171008,0.00117204582348409,2.09329001301978,0.036323273623921,4.78296195883731,0.000156264214841388,0.00475059941936022
16,treat,Treatment - Control,-0.00180717867079757,0.00115795122721987,-1.56066907510123,0.118601851479742,3.07580156308277,-0.00407672137200248,0.000462364030407338
17,treat,Treatment - Control,-0.00149275559899316,0.00121840225119763,-1.22517468884012,0.220509408947326,2.18108787923136,-0.00388078013002304,0.000895268932036716
18,treat,Treatment - Control,-0.00110447733931792,0.00117353301648009,-0.941155744071615,0.346625052361672,1.52855216568703,-0.00340455978628755,0.0011956051076517
19,treat,Treatment - Control,0.00211544170297047,0.00117309932544747,1.80329291568176,0.0713422246361996,3.80909998628325,-0.000183790725194801,0.00441467413113575
20,treat,Treatment - Control,-0.000919061199775126,0.00119450089661459,-0.769410221775385,0.441649822371712,1.17902516363598,-0.00326023993664052,0.00142211753709027
21,treat,Treatment - Control,0.00233799759243286,0.00119835334686733,1.95100852227327,0.0510560320081575,4.2917747715871,-1.07318081801399e-05,0.00468672699304586
22,treat,Treatment - Control,-0.0015956415956408,0.00118332950432659,-1.34843388067878,0.177518872957976,2.49395568167592,-0.00391492480596456,0.000723641614682951
23,treat,Treatment - Control,-0.000609171103605248,0.00115747200743276,-0.526294458693973,0.598683632532405,0.740134266081607,-0.00287777455128673,0.00165943234407623
24,treat,Treatment - Control,0.000743040385191546,0.00112229637071679,0.662071449733891,0.507925432081729,0.977311382658164,-0.00145662008139337,0.00294270085177646
25,treat,Treatment - Control,0.000575969950003499,0.00116948568846241,0.492498502278177,0.62236698045605,0.68416257440255,-0.00171617987981785,0.00286811977982485
26,treat,Treatment - Control,-8.63971595503367e-05,0.00119044435890076,-0.0725755545854449,0.942143880023567,0.085980696253432,-0.00241962522859469,0.00224683090949402
27,treat,Treatment - Control,-0.000591194520388864,0.0011501515883348,-0.514014436344692,0.607241897527643,0.719656759881594,-0.00284545021028661,0.00166306116950888
28,treat,Treatment - Control,-0.00334522692881056,0.00118954121679572,-2.81219925932591,0.0049204011798226,7.6670083356535,-0.00567668487185613,-0.001013768985765
29,treat,Treatment - Control,0.000276700638400469,0.00115022895757304,0.240561356570524,0.809895103673547,0.304193030358976,-0.00197770669241773,0.00253110796921867
30,treat,Treatment - Control,-0.00162741654614963,0.0011772467946734,-1.38239199589507,0.166851372409778,2.58336454165669,-0.00393477786462472,0.000679944772325452
31,treat,Treatment - Control,-0.00138064049702978,0.00116290966750631,-1.18722935719535,0.235137164049047,2.0884255161179,-0.0036599015626156,0.000898620568556042
32,treat,Treatment - Control,-0.00057315713105523,0.0011780539376842,-0.486528768098628,0.626592313645575,0.674401022486768,-0.00288210042076185,0.00173578615865139
33,treat,Treatment - Control,-0.000335593664970796,0.0011800384949462,-0.284392133314344,0.776109886936592,0.365667161399144,-0.00264842661543619,0.0019772392854946
34,treat,Treatment - Control,-0.00174658330542803,0.00120398246863049,-1.45067170904469,0.146871296878235,2.76737561796892,-0.00410634558196141,0.000613178971105344
35,treat,Treatment - Control,0.00137009653652131,0.0011415434427386,1.2002141006867,0.230056200389276,2.11994175494125,-0.000867287498034209,0.00360748057107682
36,treat,Treatment - Control,0.00194724938222466,0.00119649305932237,1.62746400161108,0.103638588122606,3.27036682808139,-0.000397833921799325,0.00429233268624864
