dataset_id,control_prob,treat_prob
238,0.873125,0.126875
239,0.735625,0.264375
240,0.694625,0.305375
241,0.2425,0.7575
242,0.6605,0.3395
243,0.2395,0.7605
244,0.635625,0.364375
245,0.696875,0.303125
246,0.758375,0.241625
247,0.362875,0.637125
248,0.916,0.084
249,0.6405,0.3595
250,0.627625,0.372375
251,0.7795,0.2205
252,0.29925,0.70075
253,0.6225,0.3775
254,0.23825,0.76175
255,0.49075,0.50925
256,0.6745,0.3255
257,0.724875,0.275125
258,0.691875,0.308125
259,0.722375,0.277625
260,0.44025,0.55975
261,0.5495,0.4505
262,0.587125,0.412875
263,0.129375,0.870625
264,0.532125,0.467875
265,0.66175,0.33825
266,0.912375,0.087625
267,0.579625,0.420375
268,0.722625,0.277375
269,0.0555,0.9445
270,0.918375,0.081625
271,0.569625,0.430375
272,0.809125,0.190875
273,0.888375,0.111625
274,0.5815,0.4185
275,0.82375,0.17625
276,0.3675,0.6325
277,0.6275,0.3725
278,0.508,0.492
279,0.72725,0.27275
280,0.417625,0.582375
281,0.671125,0.328875
282,0.25725,0.74275
283,0.0595,0.9405
284,0.379625,0.620375
285,0.62725,0.37275
286,0.6135,0.3865
287,0.8205,0.1795
288,0.173625,0.826375
289,0.281875,0.718125
290,0.3835,0.6165
291,0.64325,0.35675
292,0.298875,0.701125
293,0.212125,0.787875
294,0.594125,0.405875
295,0.910375,0.089625
296,0.0815,0.9185
297,0.62375,0.37625
298,0.835,0.165
299,0.6085,0.3915
300,0.60475,0.39525
301,0.347375,0.652625
302,0.46325,0.53675
303,0.289,0.711
304,0.253125,0.746875
305,0.844,0.156
306,0.682625,0.317375
307,0.313375,0.686625
308,0.36125,0.63875
309,0.773125,0.226875
310,0.96325,0.03675
311,0.495375,0.504625
312,0.348625,0.651375
313,0.056,0.944
314,0.588125,0.411875
315,0.621125,0.378875
316,0.802875,0.197125
317,0.458875,0.541125
318,0.55,0.45
319,0.0505,0.9495
320,0.658,0.342
321,0.538,0.462
322,0.292375,0.707625
323,0.309,0.691
324,0.191,0.809
325,0.829,0.171
326,0.844875,0.155125
327,0.482375,0.517625
328,0.153375,0.846625
329,0.5115,0.4885
330,0.853,0.147
331,0.713625,0.286375
332,0.948625,0.051375
333,0.062875,0.937125
334,0.933,0.067
335,0.843875,0.156125
336,0.787625,0.212375
337,0.11225,0.88775
338,0.8305,0.1695
339,0.16275,0.83725
340,0.194375,0.805625
341,0.61975,0.38025
342,0.709875,0.290125
343,0.619125,0.380875
344,0.462375,0.537625
345,0.772625,0.227375
346,0.588375,0.411625
347,0.518625,0.481375
348,0.88625,0.11375
349,0.584625,0.415375
350,0.434625,0.565375
351,0.65975,0.34025
352,0.37025,0.62975
353,0.340375,0.659625
354,0.513375,0.486625
355,0.820375,0.179625
356,0.15375,0.84625
357,0.551625,0.448375
358,0.519125,0.480875
359,0.534375,0.465625
360,0.843375,0.156625
361,0.82525,0.17475
362,0.60975,0.39025
363,0.536375,0.463625
364,0.7425,0.2575
365,0.4455,0.5545
366,0.278375,0.721625
367,0.346875,0.653125
368,0.936125,0.063875
369,0.79625,0.20375
370,0.365125,0.634875
371,0.74525,0.25475
372,0.303875,0.696125
373,0.4165,0.5835
374,0.13925,0.86075
375,0.625125,0.374875
376,0.67975,0.32025
377,0.527375,0.472625
378,0.41525,0.58475
379,0.666,0.334
380,0.41125,0.58875
381,0.59275,0.40725
382,0.178625,0.821375
383,0.083,0.917
384,0.51775,0.48225
385,0.316,0.684
386,0.4715,0.5285
387,0.346,0.654
388,0.634125,0.365875
389,0.485125,0.514875
390,0.7325,0.2675
391,0.8455,0.1545
392,0.709875,0.290125
393,0.840375,0.159625
394,0.457625,0.542375
395,0.143,0.857
396,0.5295,0.4705
397,0.2975,0.7025
398,0.67075,0.32925
399,0.84025,0.15975
400,0.434625,0.565375
401,0.449125,0.550875
402,0.564125,0.435875
403,0.472375,0.527625
404,0.469625,0.530375
405,0.39475,0.60525
406,0.4825,0.5175
407,0.644,0.356
408,0.629,0.371
409,0.88275,0.11725
410,0.238125,0.761875
411,0.402,0.598
412,0.3865,0.6135
413,0.63625,0.36375
414,0.455625,0.544375
415,0.699125,0.300875
416,0.49825,0.50175
417,0.902125,0.097875
418,0.937125,0.062875
419,0.534875,0.465125
420,0.846375,0.153625
421,0.229375,0.770625
422,0.547,0.453
423,0.99675,0.00325
424,0.363375,0.636625
425,0.588875,0.411125
426,0.221125,0.778875
427,0.43925,0.56075
428,0.263125,0.736875
429,0.743125,0.256875
430,0.9075,0.0925
431,0.113875,0.886125
432,0.50125,0.49875
433,0.496,0.504
434,0.66225,0.33775
435,0.202625,0.797375
436,0.391625,0.608375
437,0.294625,0.705375
438,0.52475,0.47525
439,0.338625,0.661375
440,0.213625,0.786375
441,0.240125,0.759875
442,0.451875,0.548125
443,0.05625,0.94375
444,0.626875,0.373125
445,0.100125,0.899875
446,0.815375,0.184625
447,0.906375,0.093625
448,0.404,0.596
449,0.70025,0.29975
450,0.611,0.389
451,0.2415,0.7585
452,0.20175,0.79825
453,0.57075,0.42925
454,0.87225,0.12775
455,0.429,0.571
456,0.134625,0.865375
457,0.1795,0.8205
458,0.394625,0.605375
459,0.676875,0.323125
460,0.317,0.683
461,0.4375,0.5625
462,0.334,0.666
463,0.276125,0.723875
464,0.571125,0.428875
465,0.97375,0.02625
466,0.40675,0.59325
467,0.594375,0.405625
468,0.598875,0.401125
469,0.3045,0.6955
470,0.86825,0.13175
471,0.68975,0.31025
472,0.04475,0.95525
473,0.4215,0.5785
474,0.0985,0.9015
475,0.434,0.566
476,0.018,0.982
477,0.731375,0.268625
478,0.063,0.937
